event_id,time,lat,long,mag,mag_type,depth,epi_distance,P_predict,S_predict,catalogued,detected,P_detected,S_detected,P_peak_confidence,peak_confidence
,,,,,,,,,,False,True,,2024-04-23T09:14:49.390000,,0.767952561378479
,,,,,,,,,,False,True,2024-04-23T09:20:08.460000,,,0.7351855039596558
,,,,,,,,,,False,True,,2024-04-23T09:20:09.060000,,0.7874358892440796
,,,,,,,,,,False,True,2024-04-23T09:32:09.010000,,,0.7430318593978882
,,,,,,,,,,False,True,,2024-04-23T09:40:14.100000,,0.7121742963790894
,,,,,,,,,,False,True,2024-04-23T09:46:37,,,0.7361800074577332
,,,,,,,,,,False,True,2024-04-23T09:51:56.960000,,,0.9145879745483398
,,,,,,,,,,False,True,2024-04-23T09:54:44.230000,,,0.8193420171737671
,,,,,,,,,,False,True,,2024-04-23T09:54:44.580000,,0.8039458990097046
,,,,,,,,,,False,True,2024-04-23T09:55:06,,,0.8046869039535522
,,,,,,,,,,False,True,2024-04-23T09:57:22.060000,,,0.7171494960784912
,,,,,,,,,,False,True,,2024-04-23T10:01:12.600000,,0.7346674203872681
,,,,,,,,,,False,True,2024-04-23T10:04:07.990000,,,0.8472312688827515
,,,,,,,,,,False,True,2024-04-23T10:06:36.010000,,,0.7134118676185608
,,,,,,,,,,False,True,,2024-04-23T10:19:34.900000,,0.7259649634361267
,,,,,,,,,,False,True,2024-04-23T10:23:07.010000,,,0.8516600728034973
,,,,,,,,,,False,True,,2024-04-23T10:27:59.720000,,0.793914794921875
,,,,,,,,,,False,True,2024-04-23T10:28:29.950000,,,0.8574646711349487
,,,,,,,,,,False,True,,2024-04-23T10:28:30.490000,,0.8289902806282043
,,,,,,,,,,False,True,,2024-04-23T10:32:51.620000,,0.7514862418174744
,,,,,,,,,,False,True,2024-04-23T10:33:23,,,0.8890002369880676
,,,,,,,,,,False,True,,2024-04-23T10:33:23.430000,,0.7429171800613403
,,,,,,,,,,False,True,,2024-04-23T10:38:20.980000,,0.779689610004425
,,,,,,,,,,False,True,2024-04-23T10:38:48.940000,,,0.7894898653030396
,,,,,,,,,,False,True,,2024-04-23T10:41:28.020000,,0.7318113446235657
,,,,,,,,,,False,True,,2024-04-23T10:47:03.070000,,0.7581753134727478
,,,,,,,,,,False,True,2024-04-23T10:49:15.130000,,,0.7315094470977783
,,,,,,,,,,False,True,,2024-04-23T10:56:22.910000,,0.7259628176689148
,,,,,,,,,,False,True,2024-04-23T11:07:24.970000,,,0.863012433052063
,,,,,,,,,,False,True,2024-04-23T11:11:35.990000,,,0.713716447353363
,,,,,,,,,,False,True,2024-04-23T11:14:51,,,0.7932901382446289
,,,,,,,,,,False,True,2024-04-23T11:55:55.720000,,,0.8164729475975037
,,,,,,,,,,False,True,,2024-04-23T11:55:55.990000,,0.7579535245895386
,,,,,,,,,,False,True,2024-04-23T12:02:35,,,0.8415572047233582
,,,,,,,,,,False,True,,2024-04-23T12:03:31.930000,,0.8558090925216675
,,,,,,,,,,False,True,,2024-04-23T12:09:06.080000,,0.7772517204284668
,,,,,,,,,,False,True,,2024-04-23T12:09:49.790000,,0.7699072360992432
,,,,,,,,,,False,True,,2024-04-23T12:10:32.110000,,0.7776482701301575
,,,,,,,,,,False,True,2024-04-23T12:23:08.010000,,,0.7566176652908325
,,,,,,,,,,False,True,,2024-04-23T12:31:24.890000,,0.7122294306755066
,,,,,,,,,,False,True,,2024-04-23T12:37:49.050000,,0.8157914280891418
,,,,,,,,,,False,True,2024-04-23T12:41:38.010000,,,0.9137377738952637
,,,,,,,,,,False,True,,2024-04-23T12:45:13.110000,,0.7409849166870117
,,,,,,,,,,False,True,2024-04-23T12:48:39.010000,,,0.7566479444503784
,,,,,,,,,,False,True,,2024-04-23T12:53:29.420000,,0.7357271313667297
,,,,,,,,,,False,True,2024-04-23T12:56:21.120000,,,0.7251483798027039
,,,,,,,,,,False,True,,2024-04-23T12:56:21.520000,,0.7776507139205933
,,,,,,,,,,False,True,2024-04-23T12:59:03.960000,,,0.8149760365486145
,,,,,,,,,,False,True,,2024-04-23T12:59:04.510000,,0.7511432766914368
,,,,,,,,,,False,True,2024-04-23T13:02:25.960000,,,0.7599846720695496
,,,,,,,,,,False,True,,2024-04-23T13:29:08.050000,,0.7782400250434875
,,,,,,,,,,False,True,2024-04-23T13:30:07.010000,,,0.8676088452339172
,,,,,,,,,,False,True,2024-04-23T13:37:38,,,0.8456552028656006
,,,,,,,,,,False,True,,2024-04-23T13:51:21.410000,,0.7402761578559875
,,,,,,,,,,False,True,2024-04-23T14:05:38,,,0.7069432735443115
,,,,,,,,,,False,True,2024-04-23T14:13:49.950000,,,0.8443023562431335
,,,,,,,,,,False,True,,2024-04-23T14:13:51.110000,,0.7149994373321533
,,,,,,,,,,False,True,2024-04-23T14:14:06.970000,,,0.8531033396720886
,,,,,,,,,,False,True,2024-04-23T14:31:11,,,0.7876431941986084
,,,,,,,,,,False,True,2024-04-23T14:32:23.110000,,,0.7260490655899048
,,,,,,,,,,False,True,2024-04-23T14:40:20.860000,,,0.7111051678657532
,,,,,,,,,,False,True,2024-04-23T14:45:51.020000,,,0.9042057394981384
,,,,,,,,,,False,True,,2024-04-23T14:45:51.550000,,0.7694598436355591
,,,,,,,,,,False,True,2024-04-23T14:46:15.180000,,,0.7127641439437866
,,,,,,,,,,False,True,,2024-04-23T14:46:51.290000,,0.7426679134368896
,,,,,,,,,,False,True,2024-04-23T15:12:23.090000,,,0.8392898440361023
,,,,,,,,,,False,True,2024-04-23T15:21:55.810000,,,0.7811369895935059
,,,,,,,,,,False,True,,2024-04-23T15:21:56.280000,,0.7137938141822815
,,,,,,,,,,False,True,2024-04-23T15:30:11.600000,,,0.8753361701965332
,,,,,,,,,,False,True,2024-04-23T15:39:36.990000,,,0.728602409362793
,,,,,,,,,,False,True,,2024-04-23T15:42:41.610000,,0.7452438473701477
,,,,,,,,,,False,True,,2024-04-23T15:45:55.460000,,0.7234130501747131
,,,,,,,,,,False,True,2024-04-23T15:49:52.110000,,,0.8627886772155762
,,,,,,,,,,False,True,2024-04-23T15:54:56,,,0.8068418502807617
,,,,,,,,,,False,True,2024-04-23T15:59:07.010000,,,0.7894487380981445
,,,,,,,,,,False,True,2024-04-23T16:05:39.990000,,,0.8206832408905029
,,,,,,,,,,False,True,2024-04-23T16:11:06.010000,,,0.744959831237793
,,,,,,,,,,False,True,2024-04-23T16:15:18.970000,,,0.8357216715812683
,,,,,,,,,,False,True,2024-04-23T16:23:53.010000,,,0.7696276903152466
,,,,,,,,,,False,True,2024-04-23T16:24:49.030000,,,0.7585899829864502
,,,,,,,,,,False,True,2024-04-23T16:39:23,,,0.7573316693305969
